City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Ola,59.5833,151.2833,56.61,45,76,4.97,RU,1628124592
Saskylakh,71.9167,114.0833,61.68,35,26,13.18,RU,1628124593
San Quintín,30.4833,-115.95,71.83,75,5,17.47,MX,1628124371
Chokurdakh,70.6333,147.9167,47.93,57,100,16.67,RU,1628124594
Pacifica,37.6138,-122.4869,83.34,83,40,5.99,US,1628124595
Mataura,-46.1927,168.8643,49.48,72,100,5.57,NZ,1628124595
Ormara,25.2088,64.6357,81.07,80,96,8.59,PK,1628124596
Barrow,71.2906,-156.7887,55.42,67,1,11.5,US,1628124597
Coyhaique,-45.5752,-72.0662,33.75,93,0,3.44,CL,1628124597
Xinyu,27.8043,114.9334,82.8,86,73,9.46,CN,1628124598
Pahrump,36.2083,-115.9839,109.45,9,6,3.0,US,1628124599
Lorengau,-2.0226,147.2712,85.15,64,13,4.41,PG,1628124599
Dingle,10.9995,122.6711,85.78,68,97,15.99,PH,1628124600
Havøysund,70.9963,24.6622,49.08,93,100,8.43,NO,1628124601
Mountain Home,43.133,-115.6912,99.34,16,75,20.71,US,1628124576
Puerto Ayora,-0.7393,-90.3518,71.55,84,46,5.01,EC,1628124327
Boundiali,9.5217,-6.4869,68.97,97,73,3.96,CI,1628124602
Iqaluit,63.7506,-68.5145,44.33,87,20,5.99,CA,1628124604
Busselton,-33.65,115.3333,50.04,77,0,6.78,AU,1628124605
Yellowknife,62.456,-114.3525,56.32,54,90,6.91,CA,1628124446
Turukhansk,65.8167,87.9833,70.86,56,7,7.2,RU,1628124606
Hasaki,35.7333,140.8333,88.29,72,0,5.5,JP,1628124606
Dzhebariki-Khaya,62.2167,135.8,72.93,33,21,1.45,RU,1628124607
Valparaíso,-33.0393,-71.6273,54.52,83,90,5.75,CL,1628124608
Mumford,5.2618,-0.759,74.86,91,55,7.85,GH,1628124609
Atar,20.5169,-13.0499,93.94,30,0,7.61,MR,1628124610
Hithadhoo,-0.6,73.0833,81.32,76,100,8.05,MV,1628124610
Jamestown,42.097,-79.2353,73.04,53,20,4.61,US,1628124328
Dalvik,65.9702,-18.5286,51.73,89,99,2.48,IS,1628124612
Ribeira Grande,38.5167,-28.7,72.75,89,0,6.22,PT,1628124613
Bambous Virieux,-20.3428,57.7575,68.25,68,40,14.97,MU,1628124613
Mahon,39.8885,4.2658,73.96,88,20,8.05,ES,1628124614
Seoul,37.5683,126.9778,85.57,62,0,4.61,KR,1628124429
Kidal,18.4411,1.4078,94.87,31,60,6.24,ML,1628124616
Tiznit Province,29.5833,-9.5,68.32,73,0,0.94,MA,1628124616
San Cristobal,7.7669,-72.225,75.38,97,98,4.07,VE,1628124617
Ambon City,-3.6954,128.1814,82.54,78,40,5.75,ID,1628124618
Ha Giang,22.8333,104.9833,87.48,64,79,2.15,VN,1628124618
Inuvik,68.3499,-133.7218,70.66,39,20,4.61,CA,1628124619
Oranjemund,-28.55,16.4333,53.04,92,0,5.1,NA,1628124620
Mount Gambier,-37.8333,140.7667,53.51,87,90,10.36,AU,1628124621
Paamiut,61.994,-49.6678,44.26,94,100,8.41,GL,1628124621
Phalaborwa,-23.943,31.1411,54.68,60,0,2.21,ZA,1628124622
Bandarbeyla,9.4942,50.8122,77.63,75,26,26.8,SO,1628124623
Kristinestad,62.2743,21.376,54.05,70,8,3.87,FI,1628124624
Semnan,35.5729,53.3971,78.17,35,80,5.61,IR,1628124431
Adeje,28.1227,-16.726,73.22,76,20,8.01,ES,1628124388
Bengkulu,-3.8004,102.2655,76.64,86,100,2.98,ID,1628124556
Rikitea,-23.1203,-134.9692,72.86,71,10,17.02,PF,1628124626
Bac Lieu,9.285,105.7244,82.2,78,100,15.12,VN,1628124370
Bunbury,-33.3333,115.6333,52.56,75,0,6.67,AU,1628124627
Sibolga,1.7427,98.7792,77.65,84,99,2.53,ID,1628124628
Abhā,18.2164,42.5053,64.22,100,83,0.0,SA,1628124629
Riyadh,24.6877,46.7219,87.94,11,4,6.8,SA,1628124584
Camaná,-16.6228,-72.7111,64.62,79,37,4.47,PE,1628124631
Cabo San Lucas,22.8909,-109.9124,88.52,46,63,4.0,MX,1628124631
Chapais,49.7834,-74.8492,67.78,59,0,5.26,CA,1628124632
Dikson,73.5069,80.5464,44.76,92,19,3.15,RU,1628124633
Gouré,13.9835,10.2704,81.01,50,6,7.11,NE,1628124633
Digby,44.6169,-65.7655,68.95,88,100,5.59,CA,1628124634
Solnechnyy,50.7214,136.6319,58.71,90,100,3.06,RU,1628124635
Nanortalik,60.1432,-45.2371,44.71,96,100,5.68,GL,1628124635
Bam,29.106,58.357,87.39,23,100,7.34,IR,1628124636
Zarumilla,-3.5031,-80.2731,68.86,86,5,4.43,PE,1628124637
Ponta do Sol,32.6667,-17.1,74.03,77,1,3.2,PT,1628124638
Morón,-34.6534,-58.6198,50.99,97,75,1.99,AR,1628124610
Qaanaaq,77.484,-69.3632,43.52,69,7,4.56,GL,1628124639
Geraldton,-28.7667,114.6,50.41,76,0,9.22,AU,1628124639
Coahuayana Viejo,18.7333,-103.6833,81.7,83,100,1.32,MX,1628124640
Forsytheganj,52.6333,29.7333,59.43,96,97,6.69,BY,1628124641
Monte Patria,-30.6919,-70.9467,62.13,56,0,3.6,CL,1628124641
Porto-Novo,6.4965,2.6036,78.62,88,100,6.98,BJ,1628124642
Vardø,70.3705,31.1107,47.8,84,100,25.68,NO,1628124643
Avarua,-21.2078,-159.775,77.05,73,40,9.22,CK,1628124484
Ramotswa,-24.8716,25.8699,47.82,43,0,0.4,BW,1628124644
Khatanga,71.9667,102.5,71.11,35,73,14.34,RU,1628124644
Ponnāni,10.767,75.9252,74.52,89,100,7.16,IN,1628124645
Torbay,47.6666,-52.7314,64.67,71,40,16.11,CA,1628124646
Tarakan,3.3,117.6333,80.1,83,75,4.61,ID,1628124646
Bethel,41.3712,-73.414,69.08,86,100,3.76,US,1628124647
Nouadhibou,20.931,-17.0347,71.58,78,0,13.8,MR,1628124648
Laguna,38.421,-121.4238,101.91,30,1,7.0,US,1628124648
Sakakah,29.9697,40.2064,85.57,14,21,7.25,SA,1628124649
Vaini,-21.2,-175.2,73.56,73,20,10.36,TO,1628124649
Kapaa,22.0752,-159.319,84.52,73,90,5.01,US,1628124650
Port Alfred,-33.5906,26.891,63.32,88,92,9.17,ZA,1628124651
Saint Paul Harbor,57.79,-152.4072,63.91,68,90,5.75,US,1628124651
Mar del Plata,-38.0023,-57.5575,53.1,27,0,10.0,AR,1628124493
Margate,51.3813,1.3862,58.91,88,3,5.82,GB,1628124652
Lumphat,13.4878,106.9816,76.42,97,100,5.3,KH,1628124411
Esperance,-33.8667,121.9,48.04,79,0,7.67,AU,1628124654
Joshīmath,30.5667,79.5667,71.42,86,68,0.2,IN,1628124654
Mafinga,-7.25,35.0667,64.08,67,18,4.14,TZ,1628124655
Vanderhoof,54.0166,-124.0198,85.57,29,74,3.69,CA,1628124656
Herat Province,34.5,62.0,80.31,19,0,17.83,AF,1628124656
Cidreira,-30.1811,-50.2056,59.09,95,100,10.6,BR,1628124657
Saint Anthony,45.0205,-93.218,79.93,54,1,1.99,US,1628124658
Narsaq,60.9167,-46.05,46.9,85,100,4.99,GL,1628124658
Coalburn,55.5833,-3.9,58.33,90,100,9.46,GB,1628124659
Kyzyl-Suu,42.3414,78.0056,62.31,53,2,4.16,KG,1628124660
Auning,56.4308,10.3782,55.56,83,6,3.0,DK,1628124660
Butaritari,3.0707,172.7902,82.67,65,6,7.67,KI,1628124661
Bluff,-46.6,168.3333,49.8,66,100,6.04,NZ,1628124662
Sainte-Maxime,43.3,6.6333,71.62,67,0,19.13,FR,1628124662
San Patricio,28.017,-97.5169,89.69,71,86,8.3,US,1628124663
Hermanus,-34.4187,19.2345,52.9,94,24,6.82,ZA,1628124664
Cherskiy,68.75,161.3,53.82,68,100,8.05,RU,1628124664
Severo-Kuril'sk,50.6789,156.125,57.18,63,39,14.38,RU,1628124665
Hambantota,6.1241,81.1185,79.14,94,20,14.97,LK,1628124667
Luanda,-8.8368,13.2343,71.6,88,75,4.61,AO,1628124477
Kaitangata,-46.2817,169.8464,51.93,70,100,12.62,NZ,1628124668
Upernavik,72.7868,-56.1549,45.39,72,2,0.94,GL,1628124668
Semey,50.4111,80.2275,62.82,77,75,11.18,KZ,1628124670
Ribeira Brava,32.65,-17.0667,74.03,78,1,3.53,PT,1628124670
East London,-33.0153,27.9116,65.37,85,99,7.14,ZA,1628124671
Krabi,8.0726,98.9105,83.98,89,20,6.91,TH,1628124671
Chanute,37.6792,-95.4572,83.48,51,1,5.75,US,1628124673
Constitución,-35.3333,-72.4167,52.72,85,100,10.42,CL,1628124673
Ugoofaaru,5.6667,73.0,81.41,80,86,10.54,MV,1628124674
Tiksi,71.6872,128.8694,44.98,73,7,9.08,RU,1628124674
Soyo,-6.1349,12.3689,71.78,90,3,6.96,AO,1628124675
Sosnovo-Ozerskoye,52.5249,111.5418,62.67,62,2,10.2,RU,1628124676
Sept-Îles,50.2001,-66.3821,57.63,83,20,1.01,CA,1628124410
West Helena,34.5507,-90.6418,77.95,63,0,6.91,US,1628124663
Ilulissat,69.2167,-51.1,35.47,84,26,4.63,GL,1628124678
Pevek,69.7008,170.3133,43.16,84,71,18.37,RU,1628124678
Morondava,-20.2833,44.2833,72.61,62,99,2.13,MG,1628124679
Los Llanos de Aridane,28.6585,-17.9182,67.75,93,0,12.66,ES,1628124680
Comodoro Rivadavia,-45.8667,-67.5,66.06,24,0,8.05,AR,1628124681
Oistins,13.0667,-59.5333,80.69,78,20,10.36,BB,1628124681
Longyearbyen,78.2186,15.6401,42.64,87,75,6.91,SJ,1628124682
Vangaindrano,-23.35,47.6,64.31,80,87,2.82,MG,1628124683
Adrar,20.5022,-10.0711,89.65,18,4,11.99,MR,1628124684
Tahoua,14.8888,5.2692,83.16,59,100,5.7,NE,1628124685
Kuril'sk,45.2333,147.8833,63.23,97,100,4.43,RU,1628124685
Tromsø,69.6496,18.957,52.45,93,75,1.01,NO,1628124686
Arraial do Cabo,-22.9661,-42.0278,58.96,94,20,0.0,BR,1628124618
Chifeng,42.2683,118.9636,77.97,47,0,13.85,CN,1628124687
Pochutla,15.7432,-96.4661,80.82,86,65,2.8,MX,1628124688
Itarema,-2.9248,-39.9167,79.63,78,97,13.94,BR,1628124688
Praia,14.9215,-23.5087,78.48,88,100,4.79,CV,1628124689
Chui,-33.6971,-53.4616,49.1,95,92,5.66,UY,1628124690
Oktyabr'skoye,43.0645,44.7417,62.74,88,10,4.47,RU,1628124690
Caravelas,-17.7125,-39.2481,69.33,82,100,10.8,BR,1628124578
Kamenka,51.3223,42.7678,62.92,65,75,3.27,RU,1628124691
Cockburn Town,21.4612,-71.1419,82.36,74,40,11.5,TC,1628124519
Ixtapa,20.7,-105.2,80.22,96,100,1.52,MX,1628124567
Bitkine,11.9801,18.2138,77.68,73,100,3.94,TD,1628124693
George Town,5.4112,100.3354,82.33,87,20,1.01,MY,1628124579
Port Saint Lucie,27.2939,-80.3503,80.02,86,100,1.01,US,1628124584
Beringovskiy,63.05,179.3167,48.83,91,100,28.16,RU,1628124694
Calvinia,-31.4707,19.776,44.78,67,0,3.22,ZA,1628124695
Kyaikto,17.3,97.0167,77.77,92,92,6.6,MM,1628124696
Sumbe,-11.2061,13.8437,69.78,90,2,3.94,AO,1628124696
Anloga,5.7947,0.8973,76.19,90,96,11.74,GH,1628124697
Chernyshevskiy,63.0128,112.4714,72.25,38,3,11.03,RU,1628124698
Ariquemes,-9.9133,-63.0408,75.27,42,0,2.15,BR,1628124698
Khovd,48.0056,91.6419,71.26,31,83,6.78,MN,1628124699
Palmas Bellas,9.2319,-80.0867,82.31,87,100,5.64,PA,1628124699
Laas,46.6166,10.7002,56.28,99,100,5.5,IT,1628124700
Yako,12.9667,-2.2667,78.19,74,100,8.97,BF,1628124700
Kiryat Gat,31.61,34.7642,84.4,46,0,1.25,IL,1628124701
Berbera,10.4396,45.0143,89.64,41,43,19.28,SO,1628124702
Bykovo,55.6361,38.0803,58.32,100,20,2.24,RU,1628124702
Zhigansk,66.7697,123.3711,67.8,41,0,11.5,RU,1628124703
Sémbé,1.6481,14.5806,74.21,68,82,2.37,CG,1628124704
Gulmarg,34.049,74.3921,52.41,73,10,2.21,IN,1628124704
Port Said,31.2565,32.2841,84.18,79,0,6.91,EG,1628124705
Powell River,49.8496,-124.5361,92.05,44,20,4.61,CA,1628124446
Hue,16.4667,107.6,93.31,46,20,10.36,VN,1628124706
Te Anau,-45.4167,167.7167,45.82,71,100,1.25,NZ,1628124608
Sayyan,15.1718,44.3244,62.67,58,96,8.37,YE,1628124707
Yumen,40.2833,97.2,75.54,17,76,12.03,CN,1628124708
Preobrazheniye,42.9019,133.9064,81.66,72,86,7.09,RU,1628124709
Plouzané,48.3833,-4.6167,60.98,91,90,9.22,FR,1628124709
Sabang,5.8933,95.3214,82.38,77,100,25.37,ID,1628124710
Husavik,66.0449,-17.3389,51.71,85,90,3.49,IS,1628124711
Babushkin,51.7122,105.8647,65.84,67,7,4.25,RU,1628124712
Fare,-16.7,-151.0167,79.48,72,15,14.56,PF,1628124712
Port Blair,11.6667,92.75,82.0,84,100,20.2,IN,1628124713
Berlevåg,70.8578,29.0864,47.01,92,100,20.85,NO,1628124714
Auki,-8.7676,160.7034,82.98,66,34,5.37,SB,1628124715
Amalāpuram,16.5833,82.0167,82.78,72,98,6.8,IN,1628124715
Lebu,-37.6167,-73.65,52.72,85,100,17.34,CL,1628124716
Prince Rupert,54.3161,-130.3201,60.89,100,90,10.36,CA,1628124717
Bielsko-Biala,49.8224,19.0469,61.74,95,100,3.58,PL,1628124717
Razumnoye,50.5344,36.6846,63.68,67,0,2.24,RU,1628124718
Maturin,9.75,-63.1767,72.88,95,6,4.16,VE,1628124719
Meulaboh,4.1363,96.1285,76.59,84,100,3.78,ID,1628124719
Biloela,-24.4167,150.5,62.92,33,0,18.39,AU,1628124720
Nemuro,43.3236,145.575,79.23,93,100,2.26,JP,1628124721
Denpasar,-8.65,115.2167,78.46,89,75,6.91,ID,1628124663
Tornio,65.8481,24.1466,44.62,65,100,0.6,FI,1628124722
São João da Barra,-21.6403,-41.0511,64.65,84,13,9.55,BR,1628124723
Santa Maria,-29.6842,-53.8069,58.3,88,75,13.8,BR,1628124723
Zhangaözen,43.3,52.8,87.67,19,30,8.28,KZ,1628124724
Nipawin,53.3668,-104.0009,68.04,83,75,6.91,CA,1628124725
Taltal,-25.4,-70.4833,59.67,64,0,3.0,CL,1628124725
Cuamba,-14.8031,36.5372,58.64,75,0,1.61,MZ,1628124726
Hadejia,12.4498,10.0444,81.46,66,45,9.37,NG,1628124727
Lüderitz,-26.6481,15.1594,55.53,82,23,4.43,NA,1628124727
Jõhvi,59.3592,27.4211,55.74,62,84,3.31,EE,1628124728
Aripuanã,-9.1667,-60.6333,74.34,44,0,2.3,BR,1628124729
Truth or Consequences,33.1284,-107.2528,92.16,28,1,8.05,US,1628124729
Shāhābād,27.65,79.95,79.93,84,36,5.95,IN,1628124730
Magadan,59.5667,150.8,55.8,47,50,4.9,RU,1628124731
Zandvoort,52.3749,4.5341,60.94,93,12,2.3,NL,1628124731
Likhoslavl',57.1275,35.464,52.16,88,100,0.29,RU,1628124732
San Policarpo,12.1791,125.5072,86.54,64,100,10.36,PH,1628124733
Luba,3.4568,8.5547,77.5,86,27,7.9,GQ,1628124734
Shingū,33.7333,135.9833,83.39,70,0,7.38,JP,1628124734
Marsá Maţrūḩ,31.3525,27.2453,79.0,89,0,6.91,EG,1628124735
Tungor,53.3808,142.9564,54.97,86,100,14.9,RU,1628124736
Praia da Vitória,38.7333,-27.0667,75.45,83,0,10.38,PT,1628124737
Altay,47.8667,88.1167,74.37,34,89,2.68,CN,1628124738
Gobabis,-22.45,18.9667,52.16,40,4,8.88,NA,1628124624
Bandar-e Anzali,37.4727,49.4622,78.15,61,0,4.32,IR,1628124739
Guerrero Negro,27.9769,-114.0611,75.54,69,6,16.93,MX,1628124740
Klaksvík,62.2266,-6.589,52.72,98,100,6.04,FO,1628124741
Apastovo,55.2029,48.5109,61.11,77,87,3.06,RU,1628124741
Arman',59.7,150.1667,58.87,43,35,8.57,RU,1628124742
Leningradskiy,69.3833,178.4167,43.47,85,100,4.23,RU,1628124743
Taksimo,56.3444,114.8794,66.85,58,14,0.43,RU,1628124743
Pangnirtung,66.1451,-65.7125,43.0,96,100,3.36,CA,1628124744
Erenhot,43.6475,111.9767,69.1,46,7,6.51,CN,1628124745
Nizhniy Kuranakh,58.8353,125.4869,66.56,83,99,4.54,RU,1628124746
Sambava,-14.2667,50.1667,66.22,83,8,8.25,MG,1628124746
Kavaratti,10.5669,72.642,82.11,78,100,19.84,IN,1628124747
Kahului,20.8947,-156.47,86.02,60,40,25.32,US,1628124748
Mariehamn,60.0973,19.9348,53.46,100,0,1.14,AX,1628124748
Portland,45.5234,-122.6762,98.38,34,40,3.0,US,1628124293
Ancud,-41.8697,-73.8203,53.13,89,100,7.87,CL,1628124749
Port Hedland,-20.3167,118.5667,66.25,34,40,20.71,AU,1628124750
Great Yarmouth,52.6083,1.7305,58.01,81,1,7.07,GB,1628124751
Miranda,3.2499,-76.2281,77.13,64,100,6.55,CO,1628124751
Skellefteå,64.7507,20.9528,52.16,71,94,4.61,SE,1628124752
Jashpurnagar,22.9,84.15,73.38,86,100,2.21,IN,1628124753
Lucapa,-8.4192,20.7447,65.73,29,0,4.79,AO,1628124753
Shishou,29.7226,112.419,85.44,78,0,10.89,CN,1628124754
Faanui,-16.4833,-151.75,79.77,71,66,14.56,PF,1628124755
Ontario,34.0633,-117.6509,113.05,36,20,1.99,US,1628124755
Berea,41.3662,-81.8543,76.69,64,1,8.05,US,1628124524
Katsuura,35.1333,140.3,86.14,70,0,8.3,JP,1628124757
Rocha,-34.4833,-54.3333,46.45,95,4,5.68,UY,1628124757
Bariloche,-41.1456,-71.3082,48.43,55,0,6.91,AR,1628124758
Lagoa,39.05,-27.9833,71.91,91,0,11.65,PT,1628124759
Faya,18.3851,42.4509,64.51,71,64,4.79,SA,1628124759
Bontang,0.1333,117.5,80.67,83,24,8.48,ID,1628124760
Loralai,30.3705,68.598,75.97,54,6,3.78,PK,1628124761
Kawhia,-38.0651,174.8183,55.74,88,100,7.7,NZ,1628124761
Champerico,14.3,-91.9167,82.35,79,100,3.27,GT,1628124762
Agüimes,27.9054,-15.4461,68.63,78,20,28.77,ES,1628124763
Tutóia,-2.7619,-42.2744,78.24,83,60,8.41,BR,1628124763
Halifax,44.6453,-63.5724,67.08,81,75,6.91,CA,1628124678
Ransang,8.9603,117.5828,86.61,69,70,11.77,PH,1628124764
Lata,40.1629,-8.3327,65.05,97,12,2.62,PT,1628124766
Souillac,-20.5167,57.5167,68.38,68,40,14.97,MU,1628124767
Manokwari,-0.8667,134.0833,80.94,75,100,7.38,ID,1628124767
Indramayu,-6.3264,108.32,81.39,75,34,9.08,ID,1628124639
Nago,26.5881,127.9761,81.03,91,100,3.2,JP,1628124768
Lufilufi,-13.8745,-171.5986,85.78,76,84,11.23,WS,1628124769
Orangeburg,33.4918,-80.8557,78.71,82,90,3.44,US,1628124769
Muros,42.7762,-9.0603,64.9,91,13,5.99,ES,1628124770
Ekibastuz,51.6667,75.3667,64.87,65,0,10.87,KZ,1628124661
Strezhevoy,60.7333,77.5889,58.98,85,12,4.09,RU,1628124771
Naze,28.3667,129.4833,83.32,86,19,21.25,JP,1628124772
Puerto Escondido,15.85,-97.0667,82.35,81,83,6.24,MX,1628124772
Panórama,40.5878,23.0315,81.68,48,0,1.01,GR,1628124773
Menongue,-14.6585,17.691,51.46,38,0,3.62,AO,1628124774
Malanje,-9.5402,16.341,64.62,48,0,3.49,AO,1628124774
Ust-Nera,64.5667,143.2,56.79,39,100,8.72,RU,1628124775
Acajutla,13.5928,-89.8275,80.42,82,92,6.78,SV,1628124776
Kembé,4.6228,21.8865,68.88,95,96,1.57,CF,1628124777
Rawson,-43.3002,-65.1023,61.56,35,9,32.12,AR,1628124778
Sarangani,5.4033,125.4636,84.49,73,100,6.78,PH,1628124778
Burē,10.7,37.0667,53.91,95,88,3.13,ET,1628124779
Surgut,61.25,73.4167,60.98,100,75,2.24,RU,1628124780
Harbour Breton,47.4833,-55.7983,63.0,88,100,11.79,CA,1628124780
Ziniaré,12.5822,-1.2983,79.57,70,99,6.38,BF,1628124781
Okhotsk,59.3833,143.3,60.12,68,95,9.46,RU,1628124782
Megion,61.0296,76.1136,59.02,88,33,5.08,RU,1628124782
Rosetta,31.4044,30.4164,80.42,57,0,2.33,EG,1628124783
Kandé,9.9578,1.0447,75.54,92,100,4.16,TG,1628124784
Aalen,48.8378,10.0933,58.98,94,100,3.62,DE,1628124784
Necochea,-38.5473,-58.7368,49.08,68,0,10.74,AR,1628124785
Liverpool,53.4106,-2.9779,59.83,80,0,3.0,GB,1628124591
Valdivia,-39.8142,-73.2459,48.33,99,100,2.98,CL,1628124787
Flinders,-34.5833,150.8552,64.18,52,28,7.0,AU,1628124787
Marsaxlokk,35.8419,14.5431,86.07,70,0,12.66,MT,1628124788
Alegrete,-29.7831,-55.7919,53.37,92,100,9.37,BR,1628124675
Tasiilaq,65.6145,-37.6368,40.17,79,99,1.05,GL,1628124789
São Filipe,14.8961,-24.4956,77.22,89,100,2.46,CV,1628124790
Eagle Pass,28.7091,-100.4995,87.28,58,100,4.99,US,1628124790
Bada,51.392,109.8717,66.69,59,16,6.29,RU,1628124791
Iberia,29.9502,-91.7507,86.0,62,1,11.5,US,1628124697
Saldanha,-33.0117,17.9442,48.25,94,28,6.26,ZA,1628124792
Sotouboua,8.5667,0.9833,77.04,96,100,3.62,TG,1628124793
Broome,42.2506,-75.833,67.82,72,15,3.0,US,1628124794
Arlit,18.7369,7.3853,89.89,41,28,13.42,NE,1628124794
Kindu,-2.95,25.95,72.72,57,10,0.94,CD,1628124795
Jijiga,9.35,42.8,63.25,69,94,16.75,ET,1628124796
Mayo,38.8876,-76.5119,76.21,73,1,4.0,US,1628124796
Ostrovnoy,68.0531,39.5131,49.28,90,100,22.46,RU,1628124797
Den Helder,52.9599,4.7593,61.99,89,4,5.99,NL,1628124583
Kruisfontein,-34.0033,24.7314,58.89,96,97,6.67,ZA,1628124798
The Valley,18.217,-63.0578,82.26,73,2,17.85,AI,1628124799
La Macarena,2.1837,-73.7849,70.99,92,91,1.74,CO,1628124800
Port Macquarie,-31.4333,152.9167,64.89,43,0,13.18,AU,1628124800
Finkenstein,46.5623,13.8709,64.13,98,100,1.32,AT,1628124801
Aykhal,66.0,111.5,64.51,36,8,14.74,RU,1628124801
Leh,34.1667,77.5833,58.86,58,8,4.63,IN,1628124802
Chegdomyn,51.1167,133.0167,64.36,97,100,3.51,RU,1628124803
Zhob,31.3411,69.4481,79.23,51,59,2.28,PK,1628124803
Padang,-0.9492,100.3543,75.25,79,100,2.75,ID,1628124804
Shimoda,34.6667,138.95,82.76,69,3,9.91,JP,1628124805
Samarai,-10.6167,150.6667,78.57,78,94,15.93,PG,1628124805
Mahibadhoo,3.7833,72.9667,81.54,76,22,4.52,MV,1628124806
Neiafu,-18.65,-173.9833,75.88,73,75,4.61,TO,1628124806
Caniço,32.6333,-16.85,74.03,78,40,17.27,PT,1628124807
Esso,55.9333,158.7,43.52,90,100,6.11,RU,1628124808
Biak,-0.9131,122.8766,80.47,72,84,5.55,ID,1628124808
Broken Hill,-31.95,141.4333,53.31,66,0,13.8,AU,1628124809
Shuyskoye,59.3736,41.0305,47.48,77,29,2.77,RU,1628124810
Fairbanks,64.8378,-147.7164,82.74,43,1,1.01,US,1628124810
Ciudad Bolivar,8.1222,-63.5497,79.93,72,75,3.11,VE,1628124811
Chamba,32.5667,76.1333,73.98,88,6,3.27,IN,1628124812
Anzio,41.4853,12.6179,78.33,99,58,5.44,IT,1628124812
Jasper,37.2001,-94.3502,79.02,72,7,1.01,US,1628124813
Merritt Island,28.5392,-80.672,78.89,84,20,11.5,US,1628124813
Macamic,48.7502,-78.9996,73.63,77,0,7.47,CA,1628124814
